id,¸g«×,½n«×
D616F,121.604444,24.671239
D616G,121.87081,24.905805
D616H,121.379105,24.438953
D616I,121.771926,24.666551
D6170,121.137729,22.766455
D6171,121.1480402,22.75288979
D6172,121.3787581,23.10223685
D6173,121.162532,23.043506
D6174,121.2127466,23.1207142
D6175,121.006926,22.612951
D6176,121.4584836,23.32143533
D6177,120.8950079,22.34174531
D6178,121.042114,22.709845
D6179,121.137354,22.915858
D617A,121.127631,22.739375
D617B,121.300107,22.966044
D617C,121.2523061,23.18278678
D617D,121.1268492,22.7771175
D617E,121.4748099,22.66066644
D617F,121.0923025,22.85260603
D617G,121.287039,23.004106
D617H,121.509816,22.055693
D617J,121.085982,22.902537
AA6212A03,121.131802,22.741134
AA6212A06,121.121174,22.768814
AA6212A08,120.886886,22.294666
AA6212A09,121.367785,23.100533
AA6212A10,121.046813,22.691124
AA6212A13,121.076906,22.771687
AA6212A14,121.093729,22.801998
AA6212A15,121.388342,23.114569
AA6212A16,121.225553,22.87074
AA6212A17,121.177029,22.778749
AA6212A19,121.459161,23.323929
AA6212A21,121.11899,22.727865
AA6212A24,121.149405,22.751844
AA6212A27,121.312104,22.98768
AA6212A28,121.048441,22.693237
AA6212A29,121.176075,23.096699
AA6212A30,121.089475,22.81266
AA6212A31,120.959587,22.531713
AA6212A32,121.098297,22.77384
AA6212A33,121.128608,22.775278
AA6212A35,121.138883,22.982499
AA6212A36,121.232503,22.880819
CC6212A01,120.675315,24.126285
CC6212A03,120.935695,23.965226
CC6212A04,120.695935,24.020043
CC6212A10,120.671006,23.988424
CC6212A14,120.491459,23.954813
CC6212A15,120.735473,23.983449
CC6212A18,120.581641,24.21122
CC6212A19,120.643766,23.970529
CC6212A23,120.438502,23.952548
CC6212A26,120.840254,24.190635
CC6212A29,120.429479,23.858146
CC6212A30,120.340301,23.964872
CC6212A31,120.428438,24.045587
CC6212A32,120.413471,24.029513
CC6212A33,120.465667,23.905211
CC6212A36,120.657517,24.146861
CC6212A43,120.587627,23.872608
CC6212A45,120.7129763,23.7989919
CC6212A46,120.427623,23.896932
CC6212A47,120.440444,24.073072
CC6212A49,120.479513,24.001426
CC6212A52,120.707428,23.97796
CC6212A54,120.576174,23.941968
CC6212A59,120.681876,24.162992
CC6212A60,120.522664,23.949734
CC6212A63,120.721309,24.272264
CC6212A64,120.815733,24.260292
CC6212A66,120.544696,24.021144
CC6212A67,120.629288,23.856013
CC6212A70,120.657144,24.134156
CC6212A73,120.575493,24.278866
CC6212A76,120.485805,24.159891
CC6212A80,120.530947,24.106133
CC6212A82,120.658914,24.156271
CC6212A83,120.535297,24.036073
CC6212A84,120.602283,24.248901
CC6212A87,120.723047,24.213793
CC6212A90,120.49574,24.173903
CC6212A92,120.731166,24.150209
CC6212A96,120.655334,24.115423
CC6212A97,120.715922,24.1336399
CC6212B03,120.651961,23.9773459
CC6212B04,120.6521959,23.9740664
CC6212B05,120.724184,24.225794
CC6212B06,120.696402,24.135166
CC6212B08,120.683799,24.097944
CC6212B09,120.473741,24.048845
CC6212B10,120.840701,24.028043
CC6212B11,120.671138,24.256277
CC6212B13,120.706476,24.0953079
CC6212B21,120.638455,24.341691
CC6212B24,120.530791,24.237735
CC6212B27,120.517992,24.10251
CC6212B28,120.710869,24.237368
CC6212B32,120.876621,24.064589
CC6212B37,120.601051,24.182731
CC6212B42,120.582522,24.24438
CC6212B44,120.8544781,23.8070127
CC6212B47,120.538924,23.831612
CC6212B48,120.580831,24.1984
CC6212B50,120.6901547,24.0757621
CC6212B51,120.639363,23.8331071
CC6212B55,120.641995,24.146772
CC6212B56,120.701413,24.142645
CC6212B57,120.689245,24.133987
CC6212B59,120.733924,24.1342279
CC6212B60,120.612174,24.154595
CC6212B61,120.702093,24.14039
CC6212B62,120.565413,24.014456
CC6212B64,120.618963,24.166172
CC6212B65,120.667027,24.132993
CC6212B66,120.645289,24.172045
CC6212B70,120.732608,24.137797
CC6212B71,120.888281,23.628877
CC6212B72,120.850446,23.811246
CC6212B77,120.694374,24.215726
CC6212B79,120.570821,23.849168
CC6212B82,120.688866,23.9948719
CC6212B83,120.697184,24.083249
CC6212B87,120.691767,24.215995
CC6212B94,120.665253,24.1838839
CC6212B97,120.545788,24.22836
CC6212B98,120.680016,23.9751739
CC6212C01,120.716086,24.296585
CC6212C02,120.6144593,24.1389953
CC6212C03,120.529273,24.08132
CC6212C08,120.61466,24.139346
CC6212C10,120.672162,23.976886
CC6212C11,120.630042,24.123068
CC6212C13,120.546308,24.231775
CC6212C15,120.684664,23.9888709
CC6212C17,120.694396,24.1648329
CC6212C20,120.630655,24.015509
CC6212C22,120.6019555,24.160817
CC6212C25,120.706444,24.111705
CC6212C26,120.553987,24.132572
CC6212C27,120.722355,24.134202
CC6212C28,120.722339,24.134163
CC6212C29,120.661785,24.119764
CC6212C33,120.837244,24.228338
CC6212C35,120.564995,24.240581
CC6212C42,120.695425,24.096516
CC6212C44,120.611907,24.136067
CC6212C45,120.694427,24.095497
CC6212C46,120.702522,24.262493
CC6212C49,120.590674,24.184435
CC6212C50,120.385346,23.898914
CC6212C51,120.682703,23.96987
CC6212C54,120.620667,24.356187
CC6212C57,120.556229,23.936325
CC6212C58,120.582917,23.909075
CC6212C59,120.550259,23.991864
CC6212C60,120.485537,23.948302
CC6212C64,120.647129,24.396415
CC6212C65,120.687647,24.085211
CC6212C68,120.554116,23.953935
CC6212C73,120.421132,24.039532
CC6212C75,120.699148,24.248779
CC6212C80,120.709493,23.832836
CC6212C81,120.542878,24.290993
CC6212C82,120.675545,24.159534
CC6212C86,120.617394,24.342209
CC6212C87,120.696911,24.241579
CC6212C94,120.715531,24.076711
CC6212D01,120.693088,23.8641391
CC6212D06,120.689235,24.076451
CC6212D07,120.569104,24.238869
CC6212D08,120.717478,23.807423
CC6212D09,120.564587,24.240254
CC6212D13,120.436233,24.036308
CC6212D19,120.508207,24.04643
CC6212D20,120.714496,23.805131
CC6212D25,120.538486,24.202331
CC6212D26,120.540377,24.209781
CC6212D27,120.735408,23.98341
CC6212D29,120.670491,24.201689
CC6212D36,120.852031,24.036431
CC6212D38,120.552946,24.01032
CC6212D43,120.642548,24.198533
CC6212D47,120.686939,24.102284
CC6212D48,120.716287,24.094846
CC6212D49,120.821253,24.310134
CC6212D50,120.622534,24.150435
CC6212D51,120.692876,23.8719451
CC6212D52,120.712484,24.157674
CC6212D53,120.666849,24.162769
